00253-18-07120,TUNE205BT,"HARMAN INTERNATIONAL INDUSTRIES, INC",Transceptor de Radiação Restrita,25/01/2022
00250-18-07120,REFLECT CONTOUR2 REFLECT MINI BT2,Harman International Industries Inc.,Transceptor de Radiação Restrita,26/01/2022
00252-18-07120,GO2H,Harman International Industries Inc.,Transceptor de Radiação Restrita,19/01/2022
08712-17-07120,GO2J,Harman International Industries Inc.,Transceptor de Radiação Restrita,11/01/2020
08622-17-07120,N05BC,Harman International Industries Inc.,Transceptor de Radiação Restrita,09/01/2020
07928-17-05662,SPHE888,China Dragon Technology Limited,Transceptor de Radiação Restrita,26/11/2019
07174-17-07120,Sport Wireless Train,Harman International Industries Inc.,Transceptor de Radiação Restrita,07/11/2021
07171-17-07120,JBL E45BT JBL E55BT,Harman International Industries Inc.,Transceptor de Radiação Restrita,07/11/2019
07750-17-06506,Sport Wireless Flex,"HARMAN INTERNATIONAL INDUSTRIES, INC",Transceptor de Radiação Restrita,07/11/2021
07513-17-02964,JBL TUNE,"Harman International (China) Holdings Co., Ltd.",Transceptor de Radiação Restrita,26/10/2021
07172-17-07120,FLIP4A,Harman International Industries Inc.,Transceptor de Radiação Restrita,24/10/2019
07146-17-06506,JBL Free,"HARMAN INTERNATIONAL INDUSTRIES, INC",Transceptor de Radiação Restrita,17/10/2019
06698-17-07120,JBL CLIP2 TS,Harman International Industries Inc.,Transceptor de Radiação Restrita,10/10/2019
06277-17-07120,BAR 5.1,Harman International Industries Inc.,Transceptor de Radiação Restrita,18/09/2021
06492-17-07120,BTA20,Harman International Industries Inc.,Transceptor de Radiação Restrita,15/09/2019
06487-17-07120,SOUNDGEAR,Harman International Industries Inc.,Transceptor de Radiação Restrita,13/09/2021
05741-17-07120,E65BTNC,Harman International Industries Inc.,Transceptor de Radiação Restrita,04/09/2019
05740-17-07120,DUET NC,Harman International Industries Inc.,Transceptor de Radiação Restrita,04/09/2021
05527-17-07120,BAR STUDIO,Harman International Industries Inc.,Transceptor de Radiação Restrita,31/08/2021
05622-17-07120,FLIP4S,Harman International Industries Inc.,Transceptor de Radiação Restrita,29/08/2021
05015-17-07120,BAR 3.1,Harman International Industries Inc.,Transceptor de Radiação Restrita,17/08/2021
05014-17-07120,BAR 2.1,Harman International Industries Inc.,Transceptor de Radiação Restrita,16/08/2021
04258-17-07120,DUET MINI,Harman International Industries Inc.,Transceptor de Radiação Restrita,04/08/2019
04987-17-07191,BL-R8192RD1,Shenzhen Bilian Eletronic Limited,Transceptor de Radiação Restrita,01/08/2021
05010-17-07120,JR300BT,Harman International Industries Inc.,Transceptor de Radiação Restrita,25/07/2021
04970-17-07120,JBL Reflect Fit,Harman International Industries Inc.,Transceptor de Radiação Restrita,26/07/2021
04360-17-07120,BOOMBOX,Harman International Industries Inc.,Transceptor de Radiação Restrita,19/07/2021
04382-17-10422,AC46xx,"Shenzhen Lencotion Technology Co., Ltd",Transceptor de Radiação Restrita,09/07/2019
03978-17-07120,FLIP4J,Harman International Industries Inc.,Transceptor de Radiação Restrita,03/07/2019
03395-17-07120,ONYX STUDIO 4 HK OS4,Harman International Industries Inc.,Transceptor de Radiação Restrita,20/06/2019
03396-17-07120,Everest Elite 750NC,Harman International Industries Inc.,Transceptor de Radiação Restrita,07/06/2021
03354-17-07120,TUNE110BT,Harman International Industries Inc.,Transceptor de Radiação Restrita,07/06/2021
03155-17-07120,TRAVELER,Harman International Industries Inc.,Transceptor de Radiação Restrita,22/05/2021
02038-17-07120,Pulse3,Harman International Industries Inc.,Transceptor de Radiação Restrita,13/05/2019
03073-17-09931,NXA-ENET8-POE+ (FG2178-64),AMX,Equipamento de Rede de Dados,-
02040-17-07120,Everest 110,Harman International Industries Inc.,Transceptor de Radiação Restrita,27/04/2019
01921-17-07120,Everest 310 Everest 710,Harman International Industries Inc.,Transceptor de Radiação Restrita,25/04/2019
00161-17-07120,T450BT+ T460BT,Harman International Industries Inc.,Transceptor de Radiação Restrita,17/02/2019
01514-17-08662,KM200,HARMAN International - CORPORATE HEADQUARTERS,Microfone sem Fio,29/03/2019
01088-17-08662,PRXAT1510,HARMAN International - CORPORATE HEADQUARTERS,Transceptor de Radiação Restrita,08/03/2021
00554-17-07120,AURA STUDIO 2,Harman International Industries Inc.,Transceptor de Radiação Restrita,23/02/2021
05506-16-07120,FLIP4,Harman International Industries Inc.,Transceptor de Radiação Restrita,14/12/2018
05488-16-10118,F-6888,"Shen Zhen Shi Xin Zhong Xin Technology Co., Ltd",Transceptor de Radiação Restrita,21/11/2020
04988-16-07120,JBL DRG,Harman International Industries Inc.,Transceptor de Radiação Restrita,26/10/2018
04424-16-07120,UA Sport Wireless,Harman International Industries Inc.,Transceptor de Radiação Restrita,17/10/2018
04070-16-07120,CINEMA SB450,Harman International Industries Inc.,Transceptor de Radiação Restrita,20/09/2018
04180-16-07120,JBL SMARTBASEWR,Harman International Industries Inc.,Transceptor de Radiação Restrita,26/09/2018
04177-16-07120,JBL SMARTBASEWL,Harman International Industries Inc.,Transceptor de Radiação Restrita,26/09/2018
04165-16-06506,E25BT,"HARMAN INTERNATIONAL INDUSTRIES, INC",Transceptor de Radiação Restrita,01/09/2022
04021-16-07120,CLIP2 TS,Harman International Industries Inc.,Transceptor de Radiação Restrita,31/08/2018
03513-16-07120,Duet BT,Harman International Industries Inc.,Transceptor de Radiação Restrita,31/08/2022
03972-16-06506,T450BT,"HARMAN INTERNATIONAL INDUSTRIES, INC",Transceptor de Radiação Restrita,24/08/2018
03582-16-09931,MVP9000i,AMX,Transceptor de Radiação Restrita,16/08/2018
